Serial Number,List Year,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type
200427,2020,Madison,171 BRADLEY CORNERS RD,266700,530000,0.5032,Residential,Single Family
200460,2020,Groton,59 THAMES HEIGHT LN,105490,157000,0.6719,Residential,Condo
200528,2020,Farmington,92 YORKSHIRE COURT,35000,616573,0.0567,Residential,Condo
201284,2020,Cromwell,28 WATCH HILL CIRCLE,94710,195024,0.4856,Residential,Condo
20229,2020,East Hartford,55 PALMER DR,157530,285000,0.5527,Residential,Single Family
200803,2020,Groton,0 BEACH RD,232050,340000,0.6825,Vacant Land,Single Family
20199,2020,Hartford,17 CAPITOL AVE #017C,33100,154000,0.2149,Residential,Condo
200439,2020,Groton,260 THAMES ST,90370,250000,0.3615,Residential,Single Family
200673,2020,Branford,114 WATCH HILL RD,122900,240000,0.512,Residential,Condo
201513,2020,Greenwich,31 CENTER DRIVE,709870,1235000,0.5747,Residential,Single Family
20206,2020,Darien,15 HALE LANE,324240,420000,0.772,Residential,Condo
20302,2020,East Hartford,1486 FORBES ST,10020,5000,2.004,Vacant Land,Condo
200443,2020,Manchester,16 SADDLEHILL ROAD,252100,447900,0.5628,Residential,Single Family
200029,2020,Guilford,38 EDWARDS ST,153970,270000,0.5702,Residential,Single Family
200629,2020,Glastonbury,55 FAWN RUN,361500,771000,0.4688,Residential,Single Family
200107,2020,Goshen,219 WEST HYERDALE DR,765420,1362500,0.5617,Residential,Single Family
200394,2020,East Lyme,12 DARROWS RIDGE RD,530460,982000,0.5401,Residential,Single Family
200008,2020,Guilford,100 SO HOOP POLE RD,240360,365000,0.6585,Residential,Single Family
20057,2020,Andover,187 SHODDY MILL RD,186600,300000,0.622,Residential,Single Family
20107,2020,Derby,11 DONNA AVE,151200,85262,1.7733,Residential,Single Family
200043,2020,Harwinton,99 ORCHARD HILL RD,111730,207500,0.5384,Residential,Single Family
200362,2020,East Lyme,23 RIDGEWOOD RD,304850,910000,0.335,Residential,Single Family
20583,2020,East Hartford,7-11 HOPEWELL ST,95870,235000,0.4079,Residential,Two Family
20006,2020,Bolton,14 LLYNWOOD DR,170100,350000,0.486,Residential,Single Family
200364,2020,Bristol,72 PAGE AVE,122220,225000,0.5432,Residential,Single Family
20022,2020,Burlington,89 WEST SIDE BOULEVARD,147070,255000,0.5767,Residential,Single Family
200100,2020,Farmington,242 COLT HIGHWAY,1400350,3378010,0.4145,Commercial,Single Family
200325,2020,Enfield,14 MOODY INDUS CONDO,60220,75000,0.8029,Commercial,Single Family
20509,2020,Bethel,27 REDWOOD DRIVE,207760,410000,0.5067,Residential,Single Family
20090,2020,Derby,15 WINTER ST,172900,255000,0.678,Residential,Single Family
200191,2020,Guilford,53 IRONWOOD RD,486910,824000,0.5909,Residential,Single Family
200444,2020,East Lyme,29 WHITING FARMS LN,263620,395000,0.6673,Residential,Condo
200161,2020,Easton,24 STONES THROW ROAD,459180,970000,0.4733,Residential,Single Family
2020203,2020,Berlin,1762 BERLIN TPKE,321100,350000,0.9174,Commercial,Single Family
200012,2020,East Granby,4 BONNIEVIEW DRIVE,151700,240000,0.632,Residential,Single Family
200208,2020,Colchester,150 NEW LONDON RD,2063000,6175000,0.334,Commercial,Single Family
200150,2020,Guilford,1957 LONG HILL RD,122390,150000,0.8159,Residential,Single Family
200964,2020,Greenwich,65 CLAPBOARD RIDGE ROAD,7360220,7495000,0.982,Residential,Single Family
20423,2020,East Hartford,505 BURSIDE AVE A-3 GAR 2,25540,50000,0.5108,Residential,Condo
201092,2020,Griswold,113-115 PINE ROAD,230580,419000,0.5503,Residential,Two Family
2020378,2020,Berlin,55 CHESTNUT LN,166000,285000,0.5824,Residential,Single Family
20000040,2020,Hampton,28 LENNYS LANE,133840,330000,0.4055,Residential,Single Family
201083,2020,Bristol,59 ORLEANS DR,168350,406000,0.4146,Residential,Single Family
201091,2020,Griswold,31 MAIN STREET,273350,238000,1.1485,Residential,Four Family
20039,2020,Darien,165 HOLLOW TREE RIDGE RD,447790,750000,0.597,Residential,Single Family
200244,2020,East Haven,55 THOMPSON ST #17E,76960,140000,0.5497,Residential,Condo
200164,2020,Glastonbury,38 RAMBLING BROOK LN UNIT 4A2,55900,110000,0.5081,Residential,Condo
20949,2020,Hartford,45 WILLARD ST #01BR,15766,60000,0.2627,Residential,Condo
200033,2020,Essex,22 LITTLE POINT ST,1159100,1748000,0.6631,Residential,Single Family
200270,2020,Enfield,8 CHARLES ST,129110,250000,0.5164,Residential,Single Family
200161,2020,Madison,95 BARTLETT DR,259900,390000,0.6664,Residential,Single Family
200625,2020,Danbury,15 THE CREST WAY,175100,365000,0.4797,Residential,Single Family
200843,2020,Enfield,31 ELM ST,116110,256000,0.4536,Residential,Single Family
20000212,2020,Brookfield,37 ELBOW HILL RD,303290,400000,0.7582,Residential,Single Family
200419,2020,Branford,1E THIMBLE ISLE,53300,90000,0.5922,Residential,Condo
200083,2020,Hebron,22 GILBERT LANE,108120,312598,0.3458,Residential,Condo
20021,2020,East Hartford,31 HIGH ST #5108,57200,112000,0.5107,Residential,Condo
200270,2020,Greenwich,50 VINEYARD LANE,3962420,4750000,0.8341,Residential,Single Family
200142,2020,Bristol,14 MACARTHUR CT,149870,277000,0.541,Residential,Single Family
200411,2020,Bristol,820 MATTHEWS ST UN 36,64820,130000,0.4986,Residential,Condo
200397,2020,Avon,34 HIGHWOOD DRIVE,267690,487500,0.5491,Residential,Single Family
200067,2020,Glastonbury,80 COPLEY RD,191900,280000,0.6853,Residential,Condo
200308,2020,Greenwich,28 HOMESTEAD LANE,430010,670000,0.6418,Residential,Single Family
200664,2020,Farmington,8649 PINNACLE RD,87980,115000,0.765,Vacant Land,Single Family
20887,2020,Hartford,57 MADISON AVE & 66 MADISON AV,668710,1850000,0.3614,Apartments,Single Family
20133,2020,Lebanon,241 LEBANON AVE,153820,321000,0.4791,Residential,Single Family
2020252,2020,Berlin,43 WILDEM RD,145000,301500,0.4809,Residential,Single Family
201732,2020,Greenwich,191 PUTNAM PARK,54118680,515000,105.0848,Residential,Condo
20954,2020,East Hartford,241 OAK ST,108550,230100,0.4717,Residential,Single Family
200051,2020,Enfield,26 SPRING ST,136950,270000,0.5072,Residential,Four Family
200034,2020,Killingworth,75 POND MEADOW ROAD,173710,244000,0.7119,Residential,Single Family
200791,2020,Enfield,46 GANNY TERR,113510,260000,0.4365,Residential,Single Family
200187,2020,Guilford,227 STATE ST,187190,375000,0.4991,Residential,Single Family
20609,2020,East Hartford,31 LORRAINE CT,90420,120000,0.7535,Residential,Single Family
2000531,2020,Cheshire,332 WOODPOND RD,250460,470000,0.5328,Residential,Single Family
200023,2020,Bristol,127 REDSTONE HILL,130550,95000,1.3742,Residential,Single Family
200023,2020,Columbia,134 ROUTE 87 WEST,220600,275000,0.8021,Residential,Single Family
2000179,2020,Cheshire,50 BELLAMY RD,259390,453000,0.5726,Residential,Single Family
20147,2020,Hartford,45 WILLARD ST #03CL,11130,45000,0.2473,Residential,Condo
200256,2020,Glastonbury,72 GIDEON LN,176200,285000,0.6182,Residential,Single Family
201112,2020,Greenwich,62 PARK AVENUE,1209460,2275000,0.5316,Residential,Single Family
200302,2020,Madison,20 GULL ROCK RD,498500,1340000,0.372,Residential,Single Family
200324,2020,Avon,77 BROOKMOOR ROAD,278570,520000,0.5357,Residential,Single Family
200861,2020,Manchester,199 WELLS STREET,102200,230000,0.4443,Residential,Single Family
200154,2020,Mansfield,6 SUMNER DR,157200,295000,0.5328,Residential,Single Family
200603,2020,Manchester,88 WALEK FARMS ROAD,153600,308000,0.4987,Residential,Single Family
200232,2020,East Haven,151 HENRY ST,127730,220000,0.5805,Residential,Single Family
20000234,2020,Granby,42 BARN DOOR HILLS RD,351540,640024,0.5492,Residential,Single Family
200712,2020,Farmington,86 FARMINGTON AV,126010,275000,0.4582,Residential,Single Family
20743,2020,East Hartford,58 CHEYENNE RD,25480,52000,0.49,Residential,Condo
200178,2020,Mansfield,28 HUNTING LODGE RD,155900,348000,0.4479,Residential,Single Family
200902,2020,Danbury,38 BLACKBERRY RD,161300,305000,0.5288,Residential,Single Family
200318,2020,Killingly,25 HUMMINGBIRD WAY,152600,225000,0.6782,Residential,Condo
200516,2020,East Lyme,21 WHITING FARMS RD,72030,455000,0.1583,Residential,Condo
200347,2020,Guilford,78 TANNER MARSH RD,176890,167500,1.056,Residential,Single Family
201328,2020,Griswold,79 POPPLE BRIDGE RD,250810,475000,0.528,Residential,Single Family
20655,2020,East Hartford,61 COLBY DR,132890,315000,0.4219,Residential,Single Family
201259,2020,Manchester,127 DELMONT STREET,139600,289000,0.483,Residential,Single Family
2000547,2020,Cheshire,272 E JOHNSON AVE,253780,170000,1.4928,Residential,Single Family
200549,2020,Madison,15 MIDDLE BEACH RD,538200,1280000,0.4204,Residential,Single Family
200665,2020,Danbury,34 PATRIOT DR A-10,31800,75500,0.4212,Residential,Condo
201590,2020,Greenwich,138 CAT ROCK ROAD,2045330,3850000,0.5312,Residential,Single Family
20110,2020,Darien,10 WEBSTER VALLEY ROAD,1582210,2500000,0.6328,Residential,Single Family
201295,2020,Greenwich,5 INDIAN KNOLL PLACE,3225810,3875000,0.8324,Residential,Single Family
200353,2020,Enfield,9 STORRS RD,83420,82500,1.0111,Residential,Single Family
200098,2020,Killingworth,15 ROUTE 79,231050,410000,0.5635,Residential,Single Family
200066,2020,East Haven,23 HUGHES ST,114830,110000,1.0439,Residential,Single Family
20302,2020,Bethel,14 SYCAMORE COURT,247240,389000,0.6355,Residential,Single Family
200007,2020,Kent,184 MACEDONIA RD,230500,535000,0.4308,Residential,Single Family
200456,2020,Avon,35 GUERNSEY LANE,277950,460000,0.6042,Residential,Single Family
200221,2020,Danbury,12 CLAPBOARD RIDGE RD #17,207900,349000,0.5957,Residential,Condo
200684,2020,Branford,162 BRUSHY PLAIN RD,210400,403000,0.522,Residential,Single Family
201053,2020,Greenwich,85 SHERWOOD PLACE UN E,1160390,1830000,0.634,Residential,Condo
20314,2020,East Hartford,138 BURKE ST,90400,200000,0.452,Residential,Single Family
2020090,2020,Ansonia,57 PLATT ST,127400,202500,0.6291,Residential,Two Family
20039,2020,Andover,22 HICKORY HILL,125000,255000,0.4901,Residential,Single Family
2000424,2020,Cheshire,7 MARKS PL,244680,446000,0.5486,Residential,Single Family
201126,2020,Griswold,148 MATHEWSON ST UNIT 605,88620,142900,0.6201,Residential,Condo
200000438,2020,Brookfield,20 FALMOUTH CT,114070,164000,0.6955,Residential,Condo
200254,2020,East Lyme,14 PATTAGANSETT CT,204750,315000,0.65,Residential,Two Family
200235,2020,Coventry,33 RIDGEBROOK DR,107200,187300,0.5723,Residential,Single Family
201180,2020,Bristol,50 CARRIAGE RD,169610,310000,0.5471,Residential,Single Family
200255,2020,Colchester,15 CARRIER RD,148700,310000,0.4796,Residential,Single Family
200136,2020,Goshen,44 ASHLEY DRIVE,233880,365000,0.6407,Residential,Single Family
201347,2020,Cromwell,18 FRANKLIN ROAD,144690,265000,0.546,Residential,Single Family
200022,2020,East Haddam,30 SIPPLES HILL RD,110260,142000,0.7764,Residential,Single Family
200634,2020,Bristol,268 DIVINITY ST UN 2-3,59430,99000,0.6003,Residential,Condo
200352,2020,Colchester,9 GARY LN,336100,595000,0.5648,Residential,Single Family
200244,2020,Farmington,47 SHADY LA,200330,410000,0.4886,Residential,Single Family
200055,2020,Litchfield,AVALON LN,100430,196000,0.5123,Vacant Land,Single Family
200058,2020,Avon,39 CHEPACHET ROAD,226800,420000,0.54,Residential,Single Family
200689,2020,Greenwich,33 MEADOWCROFT LANE,2226840,3700000,0.6018,Residential,Single Family
200500,2020,Avon,245 NEW ROAD,217640,400000,0.5441,Residential,Single Family
200106,2020,Litchfield,390 HUNTER DR,306500,505000,0.6069,Residential,Condo
200067,2020,Madison,75 CIRCLE BEACH RD & M-11/L-7,365100,700000,0.5215,Residential,Single Family
201571,2020,Greenwich,8 TAMARACK PLACE,648620,1280000,0.5067,Residential,Single Family
200583,2020,Bristol,18 HARDWICK RD,144340,233500,0.6181,Residential,Single Family
201113,2020,Danbury,20 LAWRENCE AV,230900,403000,0.5729,Residential,Condo
200331,2020,East Haven,551 SILVER SANDS RD,209790,167500,1.2525,Residential,Two Family
200137,2020,Branford,25 FEATHERBED LA,182100,334000,0.5452,Residential,Single Family
20454,2020,Hartford,117 BABCOCK ST,52570,162000,0.3245,Residential,Three Family
200176,2020,Enfield,11 ENFIELD ST,136840,347000,0.3943,Commercial,Three Family
200131,2020,Avon,18 HAYNES ROAD,211120,300000,0.7037,Residential,Single Family
201469,2020,Danbury,246 WHITE ST,589500,600000,0.9825,Commercial,Single Family
200060,2020,East Haven,152 KIMBERLY AVE,106800,219000,0.4876,Residential,Single Family
200347,2020,East Lyme,61 RIVERVIEW RD,165550,160000,1.0347,Residential,Single Family
200722,2020,Manchester,135 AUTUMN STREET,95700,126869,0.7543,Residential,Single Family
200980,2020,Greenwich,39 PIERSON DRIVE,5124350,9000000,0.5693,Residential,Single Family
200297,2020,Groton,187 BAKER AVE EXT,138740,270000,0.5138,Residential,Single Family
200617,2020,Groton,64 ATLANTIC AVE,304220,577500,0.5267,Residential,Single Family
200725,2020,Groton,83 THREE ACRE RD,208250,385000,0.5409,Residential,Single Family
201185,2020,Danbury,18 MEADOWBROOK RD,190900,375250,0.5087,Residential,Two Family
200093,2020,East Granby,38 WYNDING HILLS ROAD,137800,235000,0.5864,Residential,Single Family
2000384,2020,Cheshire,44 ABRAMS RD,642350,1650000,0.3893,Residential,Single Family
200124,2020,East Lyme,10 SALTAIRE AVE,255220,143333,1.7806,Residential,Single Family
200059,2020,Canaan,231 RT 63,270800,421050,0.6431,Residential,Single Family
201246,2020,Danbury,40 SO KING ST,299300,510000,0.5868,Residential,Single Family
20328,2020,Hartford,37 ELLIOTT ST,137900,400000,0.3447,Apartments,Single Family
2020328,2020,Ansonia,142 SILVER HILL RD PSWY,128700,322000,0.3997,Residential,Single Family
20264,2020,Darien,360 BROOKSIDE ROAD,2108050,3565000,0.5913,Residential,Single Family
200592,2020,Farmington,5 WHISPERING ROD RD,186170,360000,0.5171,Residential,Single Family
201125,2020,Manchester,83 BIGELOW STREET,98800,245000,0.4032,Residential,Single Family
200064,2020,Cromwell,114 COLES RD,120750,244900,0.4931,Residential,Single Family
20008,2020,Burlington,8 MERRIMAN DRIVE,278600,451000,0.6177,Residential,Single Family
201107,2020,Griswold,206-208 NORTH MAIN ST,98000,210000,0.4666,Residential,Two Family
2020424,2020,Berlin,224 STONY MILL LN,149400,270500,0.5523,Residential,Condo
200684,2020,Groton,240 BRIDGE ST,100380,150000,0.6692,Residential,Two Family
20179,2020,Darien,5 WARNER DRIVE,380730,505000,0.7539,Residential,Single Family
200230,2020,Coventry,606 CARPENTER RD,168500,335000,0.5029,Residential,Single Family
200165,2020,Litchfield,48 BANTAM TERR,91230,208000,0.4386,Residential,Single Family
200479,2020,Branford,525 EAST MAIN ST LOT 29,21900,54500,0.4018,Residential,Single Family
200924,2020,Manchester,61 JOYCE LANE,180200,213500,0.844,Residential,Single Family
200400,2020,Greenwich,125 FIELD POINT ROAD A4,0,2950000,0,Residential,Condo
20291,2020,Bethel,99 PAYNE ROAD,150570,220000,0.6844,Residential,Single Family
200359,2020,Colchester,NEW LONDON RD,9020,150000,0.0601,Vacant Land,Single Family
200036,2020,Chester,16 RIDGE RD,174150,337500,0.516,Residential,Single Family
200687,2020,East Haven,48 ROSES FARM RD,159850,360000,0.444,Residential,Single Family
20216,2020,Bethel,3 OAK TREEE COURT,235200,435000,0.5406,Residential,Single Family
201263,2020,Bristol,35 LESLIE COURT,91000,202000,0.4504,Residential,Single Family
20258,2020,Darien,141 WEST AVE,431410,460000,0.9378,Residential,Single Family
201281,2020,Danbury,7 PADANARAM RD 190,62700,109000,0.5752,Residential,Condo
20782,2020,Hartford,134 SOUTH ST,71015,174000,0.4081,Residential,Three Family
201011,2020,Greenwich,7 SMITH STREET SOUTH,277550,775000,0.3581,Residential,Two Family
200205,2020,Greenwich,17 DAVENPORT AVENUE,1194410,3175000,0.3762,Residential,Single Family
200197,2020,Easton,115 OLD STONEWALL ROAD,523260,840000,0.6229,Residential,Single Family
200404,2020,Groton,159 GROVE AVE,231000,240000,0.9625,Residential,Three Family
200506,2020,Guilford,606 DUNK ROCK RD,362550,745000,0.4866,Residential,Single Family
200780,2020,Bristol,35 RUTH ST UN 42,62720,115000,0.5453,Residential,Condo
201180,2020,Griswold,23 SOUTH MAIN ST UNIT 12,49420,969000,0.051,Residential,Condo
200456,2020,Bristol,155 REDSTONE HILL RD UN 77,62510,97000,0.6444,Residential,Condo
2020031,2020,Berlin,493 SOUTHINGTON RD,354700,540000,0.6568,Residential,Single Family
200093,2020,Madison,93 FLINTLOCK RD,267000,325000,0.8215,Residential,Single Family
200076,2020,Colchester,68 PINE BROOK RD,185600,305000,0.6085,Residential,Single Family
200331,2020,Madison,21 STONEWALL LN,302000,550000,0.5491,Residential,Single Family
20629,2020,East Hartford,235 GRANDE RD,108310,280000,0.3868,Residential,Single Family
200090,2020,Branford,153 FOXBRIDGE VILLAGE,110400,157000,0.7031,Residential,Condo
20153,2020,Burlington,NEPAUG RD 5/13/169,86660,85000,1.0195,Vacant Land,Condo
200000404,2020,Brookfield,68 OBTUSE ROAD SOUTH,156800,292500,0.5361,Residential,Single Family
200107,2020,Harwinton,209 CATLIN RD,88980,205000,0.434,Residential,Single Family
20025,2020,Burlington,99 CHAROLAIS WAY,359590,557000,0.6455,Residential,Single Family
2020026,2020,Berlin,381 HIGH RD,140500,235000,0.5978,Residential,Single Family
20270,2020,Hartford,26 LOOMIS ST,29610,200000,0.1481,Residential,Three Family
200915,2020,Enfield,3 GUILD ST,114520,230000,0.4979,Residential,Single Family
200189,2020,Groton,21 FENWICK CT,129850,265000,0.49,Residential,Single Family
20202,2020,Bethel,11 OLD LANTERN DRIVE NORTH,159320,300000,0.531,Residential,Single Family
200888,2020,Bristol,137 OLD TURNPIKE RD,165760,300000,0.5525,Residential,Single Family
20098,2020,Burlington,53 GILBERT LN,84070,90000,0.9341,Vacant Land,Single Family
200559,2020,Danbury,190 SOUTHERN BL,176600,350000,0.5045,Residential,Single Family
201690,2020,Greenwich,53 RICHLAND ROAD,322910,755000,0.4276,Residential,Two Family
201098,2020,Greenwich,66 STIRRUP LANE,449680,805000,0.5586,Residential,Condo
200948,2020,Danbury,10 HAYESTOWN RD 3-23,266200,420000,0.6338,Residential,Condo
20342,2020,Hartford,108 WARD ST,126770,227504,0.5572,Apartments,Condo
20910,2020,East Hartford,5 CREE RD,12620,40000,0.3155,Residential,Condo
200113,2020,East Lyme,79 S WASHINGTON AVE,285880,700000,0.4084,Residential,Single Family
200752,2020,Enfield,30 KING CT,91110,225000,0.4049,Residential,Single Family
200223,2020,East Lyme,12 HARVEST GLEN,352800,620000,0.569,Residential,Single Family
200756,2020,Danbury,WEST KENOSIA AV,87800,159995,0.5487,Residential,Single Family
200911,2020,Enfield,26 BESS RD,132920,227000,0.5855,Residential,Single Family
200080,2020,Cromwell,7 WATCH HILL CIRCLE,110390,175000,0.6308,Residential,Condo
200079,2020,Bloomfield,1 BATH CRESCENT LANE,136990,290000,0.4723,Residential,Condo
200077,2020,Litchfield,MAPLE ST,560,205000,0.0027,Vacant Land,Condo
200196,2020,Enfield,14 WAGON RD,120540,249500,0.4831,Residential,Single Family
200414,2020,Greenwich,7 FAIRWAY LANE,2270660,4625000,0.491,Residential,Single Family
200272,2020,East Haven,81 WARNER RD,425120,585000,0.7267,Residential,Single Family
20036,2020,Franklin,86 EAGER RD,234580,440000,0.5331,Residential,Single Family
200208,2020,East Haddam,80 FALLS BASHAN RD,170380,135000,1.2621,Residential,Single Family
200775,2020,Bristol,147 SHERBROOKE ST,106890,200000,0.5344,Residential,Single Family
20941,2020,Hartford,13 CROWN ST,81843,236000,0.3468,Residential,Two Family
200572,2020,East Haven,866 THOMPSON ST,250550,375000,0.6681,Residential,Single Family
200346,2020,Madison,109 HARTFORD AVE,983300,1930000,0.5095,Residential,Single Family
200644,2020,Glastonbury,S/9F CHESTNUT HILL RD,5700,15000,0.38,Vacant Land,Single Family
20230,2020,Burlington,26 SAW MILL RD,248150,385000,0.6445,Residential,Single Family
20231,2020,Hartford,100 MAGNOLIA ST,51940,220000,0.236,Residential,Three Family
200004,2020,Easton,76 KNAPP STREET,571900,1100000,0.5199,Residential,Single Family
200002,2020,Manchester,236 MIDDLE TURNPIKE EAST,111000,178000,0.6235,Residential,Single Family
201336,2020,Cromwell,1212 CROMWELL HILS DRIVE,51380,119900,0.4285,Residential,Condo
200841,2020,Enfield,20 PARK AVE,116150,291000,0.3991,Residential,Two Family
2020170,2020,Berlin,200 OVERHILL DRIVE,126300,161000,0.7844,Residential,Single Family
200434,2020,Greenwich,316 RIVERSIDE AVENUE,983710,1400000,0.7026,Residential,Single Family
200175,2020,Mansfield,609 BROWNS RD,175300,200000,0.8765,Residential,Single Family
201765,2020,Greenwich,5 GLEN STREET #105,532980,925000,0.5761,Residential,Condo
200345,2020,Groton,55 VIRGINIA AVE UNIT B,24290,113197,0.2146,Residential,Condo
2020412,2020,Berlin,LOT 7 NATURES EDGE,82300,180000,0.4572,Vacant Land,Condo
20000206,2020,Granby,20 SILVER BROOK LN,249200,443000,0.5625,Residential,Single Family
200593,2020,Glastonbury,220 CHESTNUT HILL RD,383100,692000,0.5536,Residential,Single Family
200978,2020,Manchester,24 PROSPECT STREET APT 36,30000,70000,0.4285,Residential,Condo
20465,2020,Hartford,112 GILMAN ST,45360,230000,0.1972,Residential,Single Family
200194,2020,Danbury,3 E KING ST,189900,325000,0.5843,Residential,Single Family
20044,2020,Colebrook,1 CENTER BROOK,114300,163500,0.699,Residential,Single Family
200813,2020,Glastonbury,209 GEORGETOWN DR,137800,247500,0.5567,Residential,Condo
200086,2020,Kent,SOUTH KENT RD,396400,975000,0.4065,Vacant Land,Condo
200138,2020,Killingworth,27 BRIDALPATH TRAIL,0,189995,0,Residential,Single Family
2020197,2020,Berlin,797 FARMINGTON AVE,135000,165000,0.8181,Commercial,Single Family
200384,2020,East Haven,351 BRADLEY AVE,153900,265000,0.5807,Residential,Single Family
200450,2020,Branford,6 LAKEVIEW TERR,168600,310000,0.5438,Residential,Single Family
201142,2020,Manchester,22D SAINT JAMES STREET,37700,85000,0.4435,Residential,Condo
200335,2020,Manchester,667 NORTH MAIN STREET,99800,124368,0.8025,Residential,Single Family
200637,2020,Branford,30 LOMARTRA LA,94000,656293,0.1432,Residential,Single Family
20370,2020,Hartford,71 LEBANON ST,50715,185000,0.2741,Residential,Two Family
201275,2020,Greenwich,22 BALDWIN FARMS SOUTH,3345300,4400000,0.7602,Residential,Single Family
201144,2020,Bristol,410 EMMETT ST UN 32,73570,146000,0.5039,Residential,Condo
200071,2020,Bristol,199 MERCIER AVE,114870,221000,0.5197,Residential,Single Family
20774,2020,East Hartford,442 MAIN ST #809,22230,28000,0.7939,Residential,Condo
20000253,2020,Granby,68 HARTFORD AVE,122220,251000,0.4869,Residential,Single Family
201087,2020,Hartford,97 WESTBROOK ST,54133,130000,0.4164,Residential,Single Family
200723,2020,Glastonbury,40 GREGORY HILL DR,282700,450000,0.6282,Residential,Single Family
200898,2020,Enfield,16 BELLE AVE,93420,197000,0.4742,Residential,Single Family
20155,2020,Darien,21 PATRICIA LANE,994280,1616000,0.6152,Residential,Single Family
200125,2020,Killingly,147 BROAD ST,115290,230000,0.5012,Residential,Single Family
200174,2020,East Windsor,9 FIELD CIR,177230,339900,0.5214,Residential,Condo
2020341,2020,Ansonia,14 GARDNERS LA,118300,150000,0.7886,Residential,Single Family
200792,2020,Danbury,41 GOLDEN HILL RD,81200,65000,1.2492,Vacant Land,Single Family
20099,2020,East Hartford,111 MILWOOD RD,141620,225000,0.6294,Residential,Single Family
200241,2020,Litchfield,342 GOSHEN RD,182210,375000,0.4858,Residential,Single Family
200118,2020,Enfield,5 SHEPARD LA,214980,325000,0.6614,Residential,Condo
200859,2020,Glastonbury,72 OLD MUSKET RD,390500,600000,0.6508,Residential,Single Family
200517,2020,Madison,MAP 71-LOT 1 WARPAS RD,14000,1200000,0.0116,Vacant Land,Single Family
200415,2020,East Haven,10 WHEATON RD,48790,15000,3.2527,Vacant Land,Single Family
200045,2020,Bridgewater,26 CEDAR HILL ROAD,213400,495000,0.4311,Residential,Single Family
200207,2020,Mansfield,1656 STAFFORD RD,88100,204000,0.4318,Residential,Single Family
200997,2020,Greenwich,190 HOBART AVENUE,525490,900000,0.5838,Residential,Single Family
201552,2020,Danbury,1906 EATON CT,180900,345000,0.5243,Residential,Condo
20364,2020,Bethel,1308 LEXINGTON BOULEVARD,195300,365000,0.535,Residential,Condo
201519,2020,Greenwich,LOT 2 421 FIELD POINT ROAD,905660,2825000,0.3206,Vacant Land,Condo
200142,2020,Farmington,13 WALNUT ST,289960,475850,0.6094,Residential,Single Family
200638,2020,Farmington,17 FIELD STONE RUN,319050,625000,0.5104,Residential,Single Family
200794,2020,Glastonbury,224 EASTERN BLVD,408600,750000,0.5448,Commercial,Single Family
200020,2020,East Lyme,38 HOPE ST  #34,141540,237500,0.5959,Residential,Condo
20029,2020,Derby,217 ELIZABETH ST,93730,150000,0.6248,Residential,Two Family
200075,2020,Manchester,293 SPRING STREET,118100,175000,0.6748,Residential,Single Family
200200,2020,Essex,35 SUMMIT ST,142000,319000,0.4451,Residential,Single Family
201381,2020,Cromwell,27 NORLAND AVE,106610,227000,0.4696,Residential,Single Family
200006,2020,East Haven,47 OREGON AVE,157850,257000,0.6142,Residential,Single Family
201483,2020,Danbury,116 COALPIT HILL RD,168400,485000,0.3472,Residential,Two Family
200257,2020,Manchester,128 BRANFORD STREET,98800,185000,0.534,Residential,Single Family
200359,2020,Coventry,SOUTH ST,14400,19000,0.7578,Vacant Land,Single Family
200310,2020,Branford,11 KATIE-JOE LANE,324900,410000,0.7924,Residential,Single Family
200533,2020,Glastonbury,222 WILLIAMS ST E UNIT 226,71300,128700,0.554,Residential,Condo
201347,2020,Bristol,118 MOODY ST,117950,240000,0.4914,Residential,Single Family
200083,2020,Guilford,10 BALDWIN DR,199080,350000,0.5688,Residential,Single Family
200368,2020,Bristol,80 NORTH POND ST,89670,145000,0.6184,Residential,Two Family
200436,2020,Guilford,554 LAKE DR,190770,331000,0.5763,Residential,Single Family
2020104,2020,Berlin,30 BECKLEY ROAD,92700,75000,1.236,Vacant Land,Single Family
200855,2020,Greenwich,33 RAINBOW DRIVE,672840,1390000,0.4841,Residential,Single Family
200163,2020,Litchfield,1160 BANTAM RD,222110,330000,0.673,Residential,Single Family
20729,2020,Hartford,106 NILES ST,58975,260000,0.2268,Residential,Three Family
2020284,2020,Berlin,175 HUMMINGBIRD DR,150200,365000,0.4115,Residential,Single Family
20023,2020,Colebrook,278 COLEBROOK RIVER ROAD,107300,168000,0.6386,Residential,Single Family
201388,2020,Greenwich,28 HICKORY DRIVE,605500,1200000,0.5045,Residential,Single Family
200574,2020,Danbury,9 CREST RD,180300,324000,0.5564,Residential,Single Family
200022,2020,Manchester,503 BUSH HILL ROAD,163000,225000,0.7244,Residential,Single Family
2020360,2020,Ansonia,9 MARSHALL LA,178500,250000,0.714,Residential,Single Family
200168,2020,Branford,14 ACETO ST,165100,325600,0.507,Residential,Single Family
200017,2020,Chaplin,703 CHAPLIN WOODS RD,65000,100000,0.65,Residential,Condo
20455,2020,Bethel,86 COPPER SQUARE DRIVE,311990,529900,0.5887,Residential,Condo
201046,2020,Griswold,752 VOLUNTOWN RD,125090,248000,0.5044,Residential,Single Family
200099,2020,Cheshire,242 GREENBRIAR DR,189490,344900,0.5494,Residential,Single Family
